name,artist,release_date,length,popularity
Ella Baila Sola,Eslabon Armado,2023-03-16,165671,99
un x100to,Grupo Frontera,2023-04-17,194563,99
Fast Car,Luke Combs,2023-03-24,265493,91
Boy's a Liar Pt. 2,PinkPantheress,2023-02-03,131013,95
La Bebe - Remix,Yng Lvcas,2023-03-17,234352,100
Last Night,Morgan Wallen,2023-01-31,163854,91
Last Night,Morgan Wallen,2023-03-03,163854,90
WHERE SHE GOES,Bad Bunny,2023-05-18,231704,99
Cupid - Twin Ver.,FIFTY FIFTY,2023-02-24,174253,99
Search & Rescue,Drake,2023-04-07,272112,91
All My Life (feat. J. Cole),Lil Durk,2023-05-12,223878,92
PRC,Peso Pluma,2023-01-23,184066,95
Thinkin’ Bout Me,Morgan Wallen,2023-03-03,177387,87
Stand By Me (feat. Morgan Wallen),Lil Durk,2023-05-26,219173,87
Area Codes,Kali,2023-03-17,139325,91
Daylight,David Kushner,2023-04-14,212953,98
El Azul,Junior H,2023-02-10,187225,95
You Proof,Morgan Wallen,2023-03-03,157477,87
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,2023-06-01,188361,97
Flowers,Miley Cyrus,2023-01-13,200454,97
TQM,Fuerza Regida,2023-05-19,158965,95
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,2023-06-02,219453,93
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,2023-06-02,231746,92
Ella Baila Sola,Eslabon Armado,2023-04-28,165671,93
MATHEMATICAL DISRESPECT,Lil Mabu,2023-05-05,88304,89
El Gordo Trae El Mando,Chino Pacas,2023-01-27,112087,92
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,2023-06-02,256026,92
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,2023-06-02,189466,90
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,2023-02-05,163139,89
